feature,coefficient
cat__primary_industry_name_Wireless Services,2.84079486610823
cat__primary_industry_name_Office Administration,1.788800545537033
cat__primary_industry_name_Building Construction,1.6168234687686647
cat__primary_industry_name_Public Health,1.4772584712001053
cat__primary_industry_name_Warehousing and Storage,1.2157417664580905
cat__primary_industry_name_Repair and Maintenance,1.214060116621402
cat__primary_industry_name_HVAC and Refrigeration Equipment Manufacturing,1.059664954002049
cat__primary_industry_name_Public Policy Offices,1.0457851261576432
cat__primary_industry_name_Tobacco Manufacturing,1.0322250445935293
cat__primary_industry_name_Health and Human Services,1.0016249751667026
cat__primary_industry_name_Executive Search Services,1.0001644184375122
cat__primary_industry_name_Audio and Video Equipment Manufacturing,0.9669293397889052
"cat__primary_industry_name_Air, Water, and Waste Program Management",0.9521782358373935
cat__primary_industry_name_Fundraising,0.9408564655069068
cat__primary_industry_name_Personal Care Services,0.9279466775464348
cat__primary_industry_name_Administration of Justice,0.9232783146965339
cat__primary_industry_name_Philanthropic Fundraising Services,0.9229663371279037
cat__primary_industry_name_Landscaping Services,0.8975681567163234
cat__primary_industry_name_Personal Care Product Manufacturing,0.8966998774931658
"cat__primary_industry_name_Agriculture, Construction, Mining Machinery Manufacturing",0.8461748693037635
cat__primary_industry_name_Accounting,0.841031133901279
cat__primary_industry_name_Electric Power Generation,0.8374655870557804
cat__work_type_clean_Temporary,0.8195915295578947
cat__primary_industry_name_Military and International Affairs,0.7989285914211379
cat__primary_industry_name_Wholesale Luxury Goods and Jewelry,0.7891000181164047
cat__primary_industry_name_Sports Teams and Clubs,0.787189803754569
cat__primary_industry_name_Entertainment,0.7705393385993072
cat__work_type_clean_Other,0.7662972916106046
cat__work_type_clean_Contract,0.7558909563368846
cat__primary_industry_name_Artists and Writers,0.7115137723720472
cat__primary_industry_name_Freight and Package Transportation,0.6925422530901095
cat__primary_industry_name_Measuring and Control Instrument Manufacturing,0.6732356776109789
cat__primary_industry_name_Newspaper Publishing,0.6536723476244793
cat__primary_industry_name_Data Security Software Products,0.6522901122398276
cat__primary_industry_name_Metal Treatments,0.6385397367804282
cat__primary_industry_name_Electrical Equipment Manufacturing,0.6324439150612123
cat__primary_industry_name_Investment Management,0.6248354719295778
cat__primary_industry_name_Primary Metal Manufacturing,0.6127844404446686
cat__primary_industry_name_Legal Services,0.6113823405106719
cat__primary_industry_name_IT System Operations and Maintenance,0.6108485086626162
cat__primary_industry_name_Housing and Community Development,0.6083916078603171
cat__work_type_clean_Full-time,0.5922257443713673
cat__primary_industry_name_Operations Consulting,0.5835681493673396
cat__work_type_clean_Internship,0.5709685150292837
cat__primary_industry_name_Marketing Services,0.5661772566715325
cat__primary_industry_name_Legislative Offices,0.5639703029380865
cat__primary_industry_name_Pipeline Transportation,0.5544356537476751
cat__primary_industry_name_Surveying and Mapping Services,0.5500410554121021
cat__primary_industry_name_Performing Arts and Spectator Sports,0.5482466257868666
cat__work_type_clean_Part-time,0.5442207341070893
cat__primary_industry_name_Hotels and Motels,0.538175610087959
cat__primary_industry_name_Environmental Quality Programs,0.5340719001082113
"cat__primary_industry_name_Movies, Videos, and Sound",0.5283972738679847
cat__primary_industry_name_Urban Transit Services,0.5182379157961726
cat__primary_industry_name_Space Research and Technology,0.5137312519319887
cat__primary_industry_name_Ground Passenger Transportation,0.5073273870682679
cat__primary_industry_name_Social Networking Platforms,0.5072359479250861
cat__primary_industry_name_Computer Hardware Manufacturing,0.5064425742793853
cat__primary_industry_name_Research,0.5055922264193631
cat__primary_industry_name_Government Administration,0.5047898787862203
cat__primary_industry_name_Entertainment Providers,0.50060201744968
cat__primary_industry_name_Meat Products Manufacturing,0.49839823998780597
cat__primary_industry_name_Utilities Administration,0.4954096418274318
cat__primary_industry_name_Nursing Homes and Residential Care Facilities,0.4863078539645537
cat__primary_industry_name_Food and Beverage Retail,0.48429253251828663
cat__primary_industry_name_Construction Hardware Manufacturing,0.4832253600512784
cat__primary_industry_name_Trusts and Estates,0.4651525264555706
cat__primary_industry_name_Investment Banking,0.46345538210877457
cat__primary_industry_name_Sports and Recreation Instruction,0.45060709479867717
cat__primary_industry_name_Administrative and Support Services,0.4277891045412592
cat__primary_industry_name_IT System Data Services,0.4138025601056401
cat__primary_industry_name_Equipment Rental Services,0.41221620256205277
cat__primary_industry_name_Computer Games,0.4109304376126012
cat__primary_industry_name_Community Development and Urban Planning,0.40465235618973566
cat__primary_industry_name_Natural Gas Distribution,0.4021682972398903
cat__primary_industry_name_Fine Art,0.39622330411731116
cat__primary_industry_name_Law Practice,0.3837410487662368
cat__primary_industry_name_Non-profit Organizations,0.3815792539081488
cat__primary_industry_name_Wind Electric Power Generation,0.3732831457810947
cat__primary_industry_name_Political Organizations,0.3672808515659943
cat__primary_industry_name_Economic Programs,0.3613599766940114
cat__experience_group_clean_Associate,0.35978991115576253
cat__primary_industry_name_Real Estate and Equipment Rental Services,0.35901901781742496
cat__primary_industry_name_Fabricated Metal Products,0.3537032415407064
cat__primary_industry_name_IT System Installation and Disposal,0.3448932336236759
cat__primary_industry_name_Computer Networking Products,0.3443467609085409
cat__primary_industry_name_Insurance Agencies and Brokerages,0.342946565444011
cat__primary_industry_name_Veterinary Services,0.3384275621492588
cat__primary_industry_name_School and Employee Bus Services,0.32911456885200663
cat__primary_industry_name_Government Relations Services,0.32707423305239997
cat__primary_industry_name_Securities and Commodity Exchanges,0.3232387249186053
cat__primary_industry_name_Civic and Social Organizations,0.3162472292283937
cat__primary_industry_name_Plastics and Rubber Product Manufacturing,0.3106046249059985
cat__primary_industry_name_Climate Technology Product Manufacturing,0.3047429038811185
cat__primary_industry_name_Wholesale Machinery,0.29755744225371356
cat__primary_industry_name_Wineries,0.29526324886593963
cat__primary_industry_name_Retail Office Supplies and Gifts,0.29514685673123114
cat__primary_industry_name_Banking,0.2940428746930506
cat__primary_industry_name_Wine & Spirits,0.2936928839795617
cat__primary_industry_name_Mattress and Blinds Manufacturing,0.28518392751069366
"cat__primary_industry_name_Boilers, Tanks, and Shipping Container Manufacturing",0.283605725443747
cat__primary_industry_name_Renewables & Environment,0.282384205554507
cat__primary_industry_name_Research Services,0.28090241076342365
cat__primary_industry_name_Strategic Management Services,0.27959138953185964
cat__primary_industry_name_Spring and Wire Product Manufacturing,0.276257228413949
cat__primary_industry_name_Graphic Design,0.2696133054040656
cat__primary_industry_name_Architectural and Structural Metal Manufacturing,0.2695288876601989
cat__primary_industry_name_Theater Companies,0.26231177481317847
cat__primary_industry_name_Online Audio and Video Media,0.26159056086549604
cat__primary_industry_name_Nanotechnology Research,0.2614082891483574
cat__primary_industry_name_Capital Markets,0.2526144758130549
"cat__primary_industry_name_Oil, Gas, and Mining",0.25137698082685717
cat__primary_industry_name_Wholesale Import and Export,0.250326699759516
"cat__primary_industry_name_Wholesale Hardware, Plumbing, Heating Equipment",0.2480798057699129
"cat__primary_industry_name_Retail Appliances, Electrical, and Electronic Equipment",0.24578839574939632
cat__primary_industry_name_Services for Renewable Energy,0.24348795386629016
cat__primary_industry_name_Fire Protection,0.23294093942800922
cat__primary_industry_name_Performing Arts,0.23234035133628278
cat__primary_industry_name_Transportation Equipment Manufacturing,0.22489329387916188
cat__primary_industry_name_Retail Health and Personal Care Products,0.21636455838243188
cat__primary_industry_name_Mental Health Care,0.21285578256696566
cat__primary_industry_name_Paper and Forest Product Manufacturing,0.21070730176733815
cat__primary_industry_name_Funds and Trusts,0.20887375259792718
cat__primary_industry_name_Facilities Services,0.2060600841672241
cat__primary_industry_name_Baked Goods Manufacturing,0.20131164626851114
cat__primary_industry_name_Wholesale Food and Beverage,0.1937367998871052
cat__primary_industry_name_Electric Lighting Equipment Manufacturing,0.19242634081356938
"cat__primary_industry_name_Museums, Historical Sites, and Zoos",0.19222489365922318
cat__primary_industry_name_Climate Data and Analytics,0.19123334701933298
cat__primary_industry_name_Forestry and Logging,0.18959042511277072
"cat__primary_industry_name_Water, Waste, Steam, and Air Conditioning Services",0.18937493274525802
cat__primary_industry_name_Personal and Laundry Services,0.18923947643557887
cat__primary_industry_name_Engines and Power Transmission Equipment Manufacturing,0.1868701412345222
cat__primary_industry_name_Staffing and Recruiting,0.1857995278373743
cat__primary_industry_name_Non-profit Organization Management,0.1780429041929805
num__benefit_count,0.17673533328781643
cat__primary_industry_name_Luxury Goods & Jewelry,0.1753486280651642
cat__primary_industry_name_Retail Furniture and Home Furnishings,0.16603177385278156
cat__primary_industry_name_Chemical Raw Materials Manufacturing,0.16343130450841484
cat__primary_industry_name_Transportation Programs,0.1623061609416526
cat__primary_industry_name_Glass Product Manufacturing,0.16220381273152792
cat__primary_industry_name_Public Relations and Communications Services,0.1617435632017148
cat__primary_industry_name_Solar Electric Power Generation,0.16077629660774356
cat__primary_industry_name_Musicians,0.16021957771291787
cat__primary_industry_name_Investment Advice,0.15556599666524906
cat__primary_industry_name_Warehousing,0.15339308891776873
cat__primary_industry_name_Metalworking Machinery Manufacturing,0.15033700586094936
cat__primary_industry_name_Furniture,0.1450597186783908
cat__primary_industry_name_Amusement Parks and Arcades,0.14366653525928455
cat__primary_industry_name_Robot Manufacturing,0.14190075326330398
cat__primary_industry_name_Retail Luxury Goods and Jewelry,0.1353382152763471
cat__primary_industry_name_Travel Arrangements,0.13514206174709953
cat__primary_industry_name_Loan Brokers,0.13436739284145918
cat__primary_industry_name_Utilities,0.12322401188963562
num__description_length,0.1219888855020521
cat__primary_industry_name_Venture Capital and Private Equity Principals,0.11964396946252219
cat__primary_industry_name_Wholesale Furniture and Home Furnishings,0.1192652414974816
cat__primary_industry_name_Museums,0.11785430680784066
cat__primary_industry_name_Program Development,0.11780633515477691
cat__primary_industry_name_Household Services,0.11518457449222246
cat__primary_industry_name_Food and Beverage Manufacturing,0.1054119542898158
"cat__primary_industry_name_Health, Wellness & Fitness",0.10531492876689154
cat__primary_industry_name_Housing Programs,0.10176143746779406
"cat__primary_industry_name_Physical, Occupational and Speech Therapists",0.09919442637760323
cat__primary_industry_name_Wholesale Metals and Minerals,0.09537596258060943
cat__primary_industry_name_Wholesale Chemical and Allied Products,0.09079183727878073
cat__primary_industry_name_Accessible Architecture and Design,0.08997146574408875
cat__primary_industry_name_Digital Accessibility Services,0.08661009074824347
"cat__primary_industry_name_Technology, Information and Internet",0.08370846625995876
cat__primary_industry_name_Media Production,0.08290283276224121
cat__primary_industry_name_Think Tanks,0.08277959394183772
cat__primary_industry_name_Industrial Automation,0.07846634171029536
cat__primary_industry_name_IT System Custom Software Development,0.07638068056447656
cat__primary_industry_name_Utility System Construction,0.07536428276705134
cat__primary_industry_name_Individual and Family Services,0.07360655761149715
cat__primary_industry_name_Veterinary,0.07265901805693696
cat__primary_industry_name_Motor Vehicle Parts Manufacturing,0.0663493884706647
cat__primary_industry_name_Wholesale Alcoholic Beverages,0.060831802678016675
cat__primary_industry_name_Education,0.05948302993993775
"cat__primary_industry_name_Technology, Information and Media",0.058779568682960075
cat__primary_industry_name_Blockchain Services,0.05082689158749637
cat__primary_industry_name_Wholesale Footwear,0.04958903689594468
cat__primary_industry_name_Real Estate Agents and Brokers,0.0467492516388035
cat__primary_industry_name_Animation and Post-production,0.04332863303153995
cat__primary_industry_name_Computer Hardware,0.042865716798751445
cat__primary_industry_name_Medical and Diagnostic Laboratories,0.042219263244147334
cat__primary_industry_name_Security and Investigations,0.040724280783616375
cat__primary_industry_name_Commercial and Service Industry Machinery Manufacturing,0.028313103473703676
cat__primary_industry_name_Higher Education,0.027469729605289376
cat__primary_industry_name_Transportation/Trucking/Railroad,0.026479082776677175
cat__primary_industry_name_Online and Mail Order Retail,0.02394852990278124
cat__primary_industry_name_Rail Transportation,0.018471389077606835
cat__primary_industry_name_Retail Books and Printed News,0.018443482866425494
cat__primary_industry_name_Wholesale Recyclable Materials,0.011816284195458554
cat__primary_industry_name_Fashion Accessories Manufacturing,0.008159523044009966
num__skill_count,0.007685651976050475
"cat__primary_industry_name_Leisure, Travel & Tourism",0.003013720008686315
cat__primary_industry_name_Janitorial Services,-0.0023367451899824585
cat__primary_industry_name_Food & Beverages,-0.005690180455087371
cat__is_remote_1,-0.008163653335834657
cat__experience_group_clean_Mid-Senior,-0.013915317885371942
cat__primary_industry_name_Wood Product Manufacturing,-0.017602796457175964
cat__primary_industry_name_Wellness and Fitness Services,-0.031018587158093892
cat__experience_group_clean_Executive,-0.033661722362618114
cat__primary_industry_name_Manufacturing,-0.037363044393271046
cat__primary_industry_name_Biotechnology Research,-0.03807146975662619
cat__primary_industry_name_Semiconductor Manufacturing,-0.039996831101547094
cat__primary_industry_name_Mechanical Or Industrial Engineering,-0.04267891748454748
cat__primary_industry_name_Retail Art Supplies,-0.044647583611582914
cat__primary_industry_name_Events Services,-0.04482602806564826
cat__primary_industry_name_Specialty Trade Contractors,-0.04505346452170606
cat__primary_industry_name_Seafood Product Manufacturing,-0.049482058839751666
"cat__primary_industry_name_Transportation, Logistics, Supply Chain and Storage",-0.05415973246643283
cat__primary_industry_name_Retail Groceries,-0.05423669797876297
cat__primary_industry_name_Design Services,-0.05794663018139798
"cat__primary_industry_name_Wholesale Appliances, Electrical, and Electronics",-0.06553991376603804
cat__primary_industry_name_Dentists,-0.07011325057406835
cat__primary_industry_name_Automation Machinery Manufacturing,-0.07528618255350439
cat__primary_industry_name_Medical Equipment Manufacturing,-0.07603788963311622
cat__primary_industry_name_Software Development,-0.0843480511666214
cat__is_remote_0,-0.08537025754861693
"cat__primary_industry_name_Paint, Coating, and Adhesive Manufacturing",-0.08938538650570471
cat__primary_industry_name_Insurance,-0.09235011770156347
cat__primary_industry_name_Writing and Editing,-0.0929307081590585
cat__is_sponsored_0,-0.09353391088446461
cat__primary_industry_name_Data Infrastructure and Analytics,-0.09822572897104705
cat__primary_industry_name_Business Intelligence Platforms,-0.10874665358026477
cat__primary_industry_name_Alternative Dispute Resolution,-0.10985861040015012
cat__primary_industry_name_Office Furniture and Fixtures Manufacturing,-0.11449942852415665
cat__primary_industry_name_Caterers,-0.1170537993118715
cat__primary_industry_name_Recreational Facilities,-0.11768750678494523
cat__primary_industry_name_Correctional Institutions,-0.11878964828753857
cat__primary_industry_name_Conservation Programs,-0.11947832326360422
cat__primary_industry_name_Communications Equipment Manufacturing,-0.12100238786437577
cat__primary_industry_name_Packaging & Containers,-0.12331678869259954
cat__primary_industry_name_Wholesale Apparel and Sewing Supplies,-0.12355959816932456
"cat__primary_industry_name_Claims Adjusting, Actuarial Services",-0.12451384006383459
cat__primary_industry_name_Oil and Coal Product Manufacturing,-0.12559107000833347
cat__primary_industry_name_Building Equipment Contractors,-0.12966466226947065
"cat__primary_industry_name_Farming, Ranching, Forestry",-0.13369268654677688
cat__primary_industry_name_IT System Design Services,-0.13740972488029377
cat__primary_industry_name_Aviation and Aerospace Component Manufacturing,-0.13840265825766204
cat__primary_industry_name_Zoos and Botanical Gardens,-0.1389533724287009
cat__primary_industry_name_Waste Treatment and Disposal,-0.14041065467782382
cat__primary_industry_name_Telephone Call Centers,-0.1408386828020712
cat__primary_industry_name_Furniture and Home Furnishings Manufacturing,-0.14128869902010383
cat__primary_industry_name_Community Services,-0.14170049388556405
cat__primary_industry_name_Security Systems Services,-0.1457378425700699
cat__primary_industry_name_Consumer Services,-0.14623081456258052
cat__primary_industry_name_Retail Florists,-0.14889529925404196
cat__primary_industry_name_Unknown,-0.15068230526689624
cat__primary_industry_name_Maritime,-0.15093710850749564
cat__primary_industry_name_Fisheries,-0.15124752327425073
cat__primary_industry_name_Retail Musical Instruments,-0.15177362957203058
cat__primary_industry_name_Professional Training and Coaching,-0.15196650729763456
cat__primary_industry_name_Medical Device,-0.15355612510050273
cat__primary_industry_name_Courts of Law,-0.1565456237869483
cat__primary_industry_name_Design,-0.15720354766844621
cat__primary_industry_name_Construction,-0.15934541540891334
cat__primary_industry_name_Dairy,-0.15973931652466122
cat__primary_industry_name_Residential Building Construction,-0.16477730993579112
cat__primary_industry_name_Computer and Network Security,-0.16769133532024422
