feature,importance
cat__formatted_experience_level_Entry Level,0.1395657828973103
num__follower_count,0.0813838172575054
cat__formatted_experience_level_Director,0.07260971732275273
num__description_length,0.056182975519666174
text__engineer,0.05487920855011783
num__employee_count,0.04882184108013827
cat__formatted_experience_level_Mid-Senior Level,0.04331659576286032
cat__formatted_experience_level_Executive,0.04220442139558756
text__physician,0.025107078184741387
text__director,0.02106658492116154
text__manager,0.02104534407548193
cat__primary_industry_name_Retail,0.02044566242766089
text__senior,0.017737531046483068
text__attorney,0.017443751677401146
text__developer,0.008569727673377955
cat__is_remote_0,0.008210702036622632
text__assistant,0.0077125848200105505
text__general,0.0075215426326119385
num__benefit_count,0.007516829817205194
text__product,0.007366864727527401
text__counsel,0.00711054870482001
text__architect,0.007074894172328884
text__software,0.006985241261789406
num__skill_count,0.006894468304003185
cat__is_remote_1,0.006225345100025772
text__principal,0.004958602175786874
text__head,0.004782615570792393
text__id,0.004630803512769494
cat__formatted_experience_level_Unknown,0.004497429608414226
cat__primary_industry_name_Software Development,0.004373761089524421
text__of,0.004247631973961371
text__associate,0.004100850836071011
text__analyst,0.0037861289402240914
cat__formatted_work_type_Part-Time,0.0037634464408973075
text__lead,0.0036001039604253095
cat__primary_industry_name_Hospitality,0.0035711243094436584
text__nurse,0.003531613399869357
text__medical,0.0034441260676072744
cat__primary_industry_name_Biotechnology Research,0.0032825033071352183
text__therapist,0.003272172486072882
text__sr,0.003174885704618835
text__software engineer,0.0030189260615705047
text__data,0.0030003923125045268
cat__primary_industry_name_Manufacturing,0.002962615358348545
text__litigation,0.0028275731017137805
text__and,0.002819200366064802
text__engineering,0.002808593150504353
text__consultant,0.002773015219542885
cat__primary_industry_name_Hospitals and Health Care,0.0027672206810089796
text__partner,0.0027401311801038505
text__customer,0.0026820963772810516
text__sales,0.002640557105131574
cat__country_Us,0.0026278507926109106
cat__primary_industry_name_Financial Services,0.002611439853200273
text__staff,0.002503723568636997
cat__primary_industry_name_Veterinary Services,0.0024765896356626904
text__product manager,0.002475844473337036
text__level,0.002454392685105902
text__time,0.002411993015018948
cat__primary_industry_name_Higher Education,0.002394141483836245
text__service,0.002392711413478926
cat__formatted_work_type_Full-Time,0.0022802032360227462
cat__primary_industry_name_Staffing and Recruiting,0.00215376566193728
text__health,0.00212801593004001
text__executive,0.0021103025711385103
cat__formatted_work_type_Contract,0.002081168053836203
text__chief,0.002068251275242804
text__vp,0.0020664479595645367
text__senior director,0.0020030507300680253
text__scientist,0.0019376013073639615
text__business,0.0018871995841858817
text__in,0.0018382410984295182
text__specialist,0.0018366204760957142
text__clinical,0.001737877257397116
text__estate,0.0017253352168729878
text__account,0.0016975504851779104
text__vice president,0.00164606100918675
text__senior manager,0.0015643354151830425
text__designer,0.001504776878758456
cat__country_Gb,0.001500838173488248
cat__formatted_experience_level_Associate,0.0013997021065937042
text__regional,0.0013894397708380515
text__insurance,0.0013750941132090566
text__vice,0.0013706094728824865
text__home,0.0013603560168129994
cat__primary_industry_name_IT Services and IT Consulting,0.001323584416132471
text__risk,0.001275765813011049
text__relations,0.0012487151825080393
cat__primary_industry_name_Computer and Network Security,0.0012386550094130565
cat__primary_industry_name_Non-profit Organizations,0.001223762498762761
text__information,0.0012219100993994764
text__controller,0.0012216407484780668
text__rn,0.0012080766453921457
text__days,0.0011682957935943883
text__intelligence,0.0011663671419470938
"cat__primary_industry_name_Technology, Information and Internet",0.001107589758409993
text__remote,0.001101022273066761
cat__primary_industry_name_Capital Markets,0.0010849303397689467
text__job id,0.0010834971644817543
text__dental,0.0010824319375432392
text__intern,0.0010404918560780279
text__security,0.001029353493139321
cat__primary_industry_name_Computer Hardware Manufacturing,0.0010289595290395603
text__customer service,0.0010263907831427853
text__president,0.0010088710038677062
text__strategic,0.000991432400495162
text__program,0.0009879059820758907
text__nurse rn,0.0009805334273518265
text__cloud,0.0009473011234514312
text__director of,0.0009366817819363889
text__center,0.0009351520223366033
text__strategy,0.0009161320393553579
text__licensed,0.0009160317584218641
text__infrastructure,0.0008870300465318254
cat__primary_industry_name_Entertainment Providers,0.0008694784835472764
text__project,0.0008682315308161125
cat__primary_industry_name_Defense and Space Manufacturing,0.0008681593990666462
cat__primary_industry_name_Pharmaceutical Manufacturing,0.0008608282291234393
text__development,0.000853288221799026
text__management,0.0008524192380831799
text__for,0.0008416811924027455
text__solutions,0.0008406852482903143
text__technician,0.0008226822910229473
text__program manager,0.0007877849732307111
text__accountant,0.0007589951268055373
text__real,0.0007577898366351249
text__leader,0.0007557650602780674
cat__primary_industry_name_Construction,0.0007498866949712522
text__tax,0.0007455677844319522
text__assistant manager,0.0007322831359063126
cat__formatted_experience_level_Internship,0.0007254002349975952
text__financial,0.0007191442147821995
text__sales manager,0.0006987933741212653
text__safety,0.0006782251661327809
text__technical,0.0006671442151785194
text__digital,0.0006575455652213833
text__ca,0.0006506233596284616
text__with,0.000643188009978648
text__marketing,0.0006382146649192664
text__systems,0.000637199521122563
text__design,0.0006268135314996266
text__operations,0.0006246498323746372
text__learning,0.0006215239131967379
text__representative,0.000608985544168581
cat__primary_industry_name_Real Estate,0.0006046275990020201
text__account manager,0.0005926994810744974
text__full,0.0005925149305724969
text__retail,0.0005867548238979399
text__real estate,0.0005803018292561706
text__enterprise,0.000573951565514965
cat__primary_industry_name_Insurance,0.0005513869716373981
text__services,0.0005431237573264863
text__000,0.0005370586843394257
text__machine,0.0005331483812052827
text__account executive,0.0005241473503324139
text__client,0.0005064040533816926
cat__primary_industry_name_Business Consulting and Services,0.0004989426301407135
text__sales associate,0.0004985840973932835
text__technology,0.0004950218595266649
text__shift,0.0004809130773317601
cat__primary_industry_name_Telecommunications,0.00047990997830848814
text__officer,0.00047744245560264666
text__office,0.00046492637535509954
cat__primary_industry_name_Mental Health Care,0.00045950148340267386
cat__primary_industry_name_Law Practice,0.0004532671813620602
text__administrator,0.00044962409206886607
text__analytics,0.0004467607746819201
cat__primary_industry_name_Research Services,0.0004423164814395625
text__site,0.0004410070399447259
text__commercial,0.00043917712829489436
cat__primary_industry_name_Legal Services,0.00043662318253196504
text__support,0.0004346564948077011
cat__primary_industry_name_Banking,0.0004325576811784277
text__project manager,0.0004295923866889358
text__sales representative,0.0004287452182768603
text__finance,0.0004178763307778911
cat__primary_industry_name_Investment Banking,0.0003978639666560002
text__estimator,0.0003965357580104774
text__ii,0.00038912675891193763
cat__primary_industry_name_Venture Capital and Private Equity Principals,0.00038297313193372886
text__research,0.0003805917012189742
cat__primary_industry_name_Internet Marketplace Platforms,0.0003741312151763038
text__or,0.00037215905190017047
text__store manager,0.00036454199477999586
text__hybrid,0.0003542635383455384
text__iii,0.0003530931806566796
cat__primary_industry_name_Accounting,0.00035086998281024136
text__care,0.0003504068257530704
text__sign,0.0003494169766928888
text__bonus,0.0003424364245492269
text__store,0.00034238609507744047
text__family,0.0003407843619249771
text__branch,0.00034019361269047163
text__control,0.000339857712906732
text__coordinator,0.0003268118909493491
cat__primary_industry_name_Online Audio and Video Media,0.0003229736895297986
cat__primary_industry_name_Wellness and Fitness Services,0.0003208429704883431
cat__primary_industry_name_Advertising Services,0.00031733027670157924
text__corporate,0.000317047391014216
cat__primary_industry_name_Restaurants,0.0003119241533591291
text__global,0.0003099811523737339
"cat__primary_industry_name_Technology, Information and Media",0.0002980317920957831
text__supervisor,0.0002920317735173734
text__to,0.0002870150168424764
text__construction,0.00028666610115986795
cat__primary_industry_name_Investment Management,0.0002865733790016373
cat__primary_industry_name_Automation Machinery Manufacturing,0.0002774911087132198
cat__country_Ca,0.00027564615655567413
text__per,0.0002711883673211488
text__it,0.00026984654355523133
cat__primary_industry_name_Semiconductor Manufacturing,0.00026868742008311845
text__business development,0.00025748305407117454
cat__primary_industry_name_Information Services,0.00025698732825009147
text__certified,0.0002510708570159772
cat__primary_industry_name_Space Research and Technology,0.0002507196004669464
text__business analyst,0.0002501726760417917
cat__country_0,0.00024794657385525745
