name,job_count,avg_salary,median_salary
Liberty Healthcare And Rehabilitation Services,1108,,
The Job Network,1003,80700.60542857142,73153.6
J. Galt,604,237500.0,237500.0
Teksystems,529,45694.55438596491,44720.0
"Lowe'S Companies, Inc.",527,56194.86956521739,36972.0
Ingersoll Rand,517,62495.913043478264,48880.0
Capital One,496,,
Cogent Communications,476,64252.9,55000.0
Insight Global,418,90359.57773391814,83200.0
Dice,415,122135.99058823529,115000.0
Wells Fargo,388,149893.2064516129,145675.0
Circle K,381,34752.12,34637.2
Amazon,343,145290.2548387097,155650.0
Macy'S,333,138116.66666666666,134600.0
"Millennium Recruiting, Inc.",329,,
Solomon Page,326,51826.555555555555,32832.0
Apex Systems,325,103693.7717948718,108160.0
Volunteermatch,322,,
Careerstaff Unlimited,319,94226.13166666667,99320.0
Skf Group,318,79035.75,71718.4
